similarity,name1,name2,totalCount,stmId,plantationName,locationDescription,district
0.813,"De Vier Kinderen","De Zes Kinderen",5,stm-01184,"De Vier Kinderen","Boven-Commewijne","Divisie Boven-Commewijne"
0.813,"De Vier Kinderen","De Zes Kinderen",5,stm-01386,"De Vier Kinderen","",""
0.813,"De Vier Kinderen","De Zes Kinderen",5,stm-01491,"De Vier Kinderen","Coropina Kreek","Divisie Para"
0.813,"De Vier Kinderen","De Zes Kinderen",5,stm-01133,"De Zes Kinderen","",""
0.813,"De Vier Kinderen","De Zes Kinderen",5,stm-01264,"De Zes Kinderen","",""
0.813,"De Vier Kinderen","Vier Kinderen",4,stm-01184,"De Vier Kinderen","Boven-Commewijne","Divisie Boven-Commewijne"
0.813,"De Vier Kinderen","Vier Kinderen",4,stm-01386,"De Vier Kinderen","",""
0.813,"De Vier Kinderen","Vier Kinderen",4,stm-01491,"De Vier Kinderen","Coropina Kreek","Divisie Para"
0.813,"De Vier Kinderen","Vier Kinderen",4,stm-02237,"Vier Kinderen","Pad van Wanica","Divisie Para"
0.813,"Klein Cuilenburg","Klein Lunenburg",2,stm-01091,"Klein Cuilenburg","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.813,"Klein Cuilenburg","Klein Lunenburg",2,stm-00680,"Klein Lunenburg","Warappa Kreek","Divisie Beneden-Cottica"
0.800,"Aan de Vier Kinderen","De Vier Kinderen",5,stm-01508,"Aan de Vier Kinderen","Tawaycoera Kreek","Divisie Para"
0.800,"Aan de Vier Kinderen","De Vier Kinderen",5,stm-01909,"Aan de Vier Kinderen","Tawaycoera Kreek","Divisie Para"
0.800,"Aan de Vier Kinderen","De Vier Kinderen",5,stm-01184,"De Vier Kinderen","Boven-Commewijne","Divisie Boven-Commewijne"
0.800,"Aan de Vier Kinderen","De Vier Kinderen",5,stm-01386,"De Vier Kinderen","",""
0.800,"Aan de Vier Kinderen","De Vier Kinderen",5,stm-01491,"De Vier Kinderen","Coropina Kreek","Divisie Para"
0.800,"Aan De Vier Kinderen","De Vier Kinderen",5,stm-01509,"Aan De Vier Kinderen","Tawaycoera Kreek","Divisie Para"
0.800,"Aan De Vier Kinderen","De Vier Kinderen",5,stm-01515,"Aan De Vier Kinderen","Tawaycoera Kreek","Divisie Para"
0.800,"Aan De Vier Kinderen","De Vier Kinderen",5,stm-01184,"De Vier Kinderen","Boven-Commewijne","Divisie Boven-Commewijne"
0.800,"Aan De Vier Kinderen","De Vier Kinderen",5,stm-01386,"De Vier Kinderen","",""
0.800,"Aan De Vier Kinderen","De Vier Kinderen",5,stm-01491,"De Vier Kinderen","Coropina Kreek","Divisie Para"
0.800,"Dankbaarheid","De Dankbaarheid",4,stm-01699,"Dankbaarheid","Wanica Kreek",""
0.800,"Dankbaarheid","De Dankbaarheid",4,stm-00919,"De Dankbaarheid","Beneden-Saramacca","Divisie Saramacca"
