qid;map_id;label_on_map;has_polygon
Q59133009;MAP_1930;Oostwaard;true
Q59133009;MAP_1860-79;Oostwaard;false
Q59115266;MAP_1930;Bleijenhoop en Bleijenrust;true
Q59115266;MAP_1860-79;Bleijenhoop en Bleijenrust;false
Q59117001;MAP_1930;Louisenburg;true
Q59117001;MAP_1860-79;Louisenburg;false
Q59116927;MAP_1930;Lankmoedigheid;true
Q59116927;MAP_1860-79;Lankmoedigheid;false
Q59115728;MAP_1930;Java;true
Q59115728;MAP_1860-79;Java;false
Q59132808;MAP_1930;Naaldwijk;true
Q59132808;MAP_1860-79;Naaldwijk;false
Q59133953;MAP_1930;De twee Gebroeders;true
Q59133953;MAP_1860-79;De twee Gebroeders;false
Q59116949;MAP_1930;Leijenhoop;true
Q59116949;MAP_1860-79;Leijenhoop;false
Q59115465;MAP_1930;De Lemmert;true
Q59115465;MAP_1860-79;De Lemmert;false
Q59115682;MAP_1930;Heijmslust;true
Q59115682;MAP_1860-79;Heijmslust;false
Q59115724;MAP_1930;Jagerswoud;true
Q59115724;MAP_1860-79;Jagerswoud;false
Q59116841;MAP_1930;Kweekhoven;true
Q59116841;MAP_1860-79;Kweekhoven;false
Q59133921;MAP_1930;Theodora Suzanna;true
Q59133921;MAP_1860-79;Theodora Suzanna;false
Q59133921;MAP_1860-79;Theodora Suzanna;false
Q59134181;MAP_1930;Zeewijk;true
Q59134181;MAP_1860-79;Zeewijk;false
Q59133849;MAP_1930;Sophia's lust;true
Q59133849;MAP_1860-79;Sophia's lust;false
Q130359161;MAP_1930;Brandwacht;true
Q130359161;MAP_1860-79;Brandwacht;false
Q59115438;MAP_1930;De Dageraad;true
Q59115438;MAP_1860-79;De Dageraad;false
Q59134118;MAP_1930;Wilkenslust;true
Q59134118;MAP_1860-79;Wilkenslust;false
Q59115511;MAP_1930;Den Briel;true
Q59115511;MAP_1860-79;Den Briel;false
Q59132890;MAP_1930;Nieuw Onverwacht;true
Q59132890;MAP_1860-79;Klein Onverwacht;false
Q131414255;MAP_1930;Klein Onverwacht;true
Q131414255;MAP_1860-79;Klein Onverwacht;false
Q59133285;MAP_1930;Aan Saxen;true
Q59133285;MAP_1860-79;Aan Saxen;false
Q59116810;MAP_1930;Klein Charlottenburg;true
Q59116810;MAP_1860-79;Klein Charlottenburg;false
Q59117002;MAP_1930;Louisiana en Roux gift;true
Q59117002;MAP_1860-79;Louisiana en Roux gift;false
Q59115523;MAP_1930;Driesveld;true
Q59115523;MAP_1860-79;Driesveld;false
Q59134042;MAP_1930;Vriesenburg Nova en Dwingelo;true
Q59134042;MAP_1860-79;Vriesenburg Nova en Dwingelo;false
Q124832078;MAP_1930;Standvastigheid;true
Q124832078;MAP_1860-79;Standvastigheid;false
Q124830730;MAP_1930;Anna's rust en Haast u langzaam;true
Q124830730;MAP_1860-79;Anna's rust en Haast u langzaam;false
Q124815043;MAP_1930;Anna's rust en Haast u langzaam;true
Q124815043;MAP_1860-79;Anna's rust en Haast u langzaam;false
Q59115249;MAP_1930;Bijgelegen;true
Q59115249;MAP_1860-79;Bijgelegen;false
Q59133284;MAP_1930;Saxen;true
Q59133284;MAP_1860-79;Saxen;false
Q59116827;MAP_1930;Kleinhaassen;true
Q59116827;MAP_1860-79;Kleinhaassen;false
Q59116885;MAP_1930;La Perseverance;true
Q59116885;MAP_1860-79;La Perseverance;false
Q135395214;MAP_1930;Aan Vriesenburg Nova;true
Q135395214;MAP_1860-79;Aan Vriesenburg Nova;false
Q59115630;MAP_1930;De Goede verwachting;true
Q59115630;MAP_1860-79;De Goede verwachting;false
Q59116948;MAP_1930;Liverpool;true
Q59116948;MAP_1860-79;Liverpool;false
Q124825044;MAP_1930;Charlottenburg;true
Q124825044;MAP_1860-79;Charlottenburg;false
Q59115205;MAP_1930;Beekvliet;true
Q59115205;MAP_1860-79;Beekvliet;false
